Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,Crash Year,Crash Month,Day of Week,Time of Day,Hour of Day,Illumination,Weather,Road Condition,Collision Type,Fatality Count,Injury Count,Arrival Time,Dispatch Time,Vehicle Count,Automobile Count,Motorcycle Count,Bus Count,Small Truck Count,Heavy Truck Count,SUV Count,Van Count,Bicycle Count,Pedestrian Count,Latitude (Decimal),Longitude (Decimal),Speeding Related,Aggressive Driving
2017009286,46,Montgomery,46220,Upper Merion Twp,2017,1,1,1122,11,Daylight,Rain,Wet,Hit pedestrian,0,1,1123,1122,1,0,0,0,0,0,1,0,0,1,40.0903,-75.3596,No,Yes
2017127716,46,Montgomery,46220,Upper Merion Twp,2017,11,5,1718,17,Dark street lights,No adverse conditions,Dry,Angle,0,4,1724,1718,3,0,0,0,1,0,0,2,0,0,40.107,-75.3512,No,Yes
2017081790,46,Montgomery,46220,Upper Merion Twp,2017,8,5,1507,15,Daylight,No adverse conditions,Dry,Hit fixed object,0,1,1513,1508,1,0,0,0,0,0,1,0,0,0,40.087,-75.331,No,No
2017056355,46,Montgomery,46220,Upper Merion Twp,2017,5,3,1756,17,Daylight,No adverse conditions,Wet,Rear-end,0,0,1806,1758,3,2,0,0,0,0,1,0,0,0,40.0812,-75.3873,Yes,Yes
2017070756,46,Montgomery,46220,Upper Merion Twp,2017,6,7,250,2,Dark no street lights,Rain,Wet,Rear-end,0,0,310,250,2,2,0,0,0,0,0,0,0,0,40.0784,-75.3744,Yes,Yes
2017009930,46,Montgomery,46220,Upper Merion Twp,2017,1,1,420,4,Dark unknown roadway lighting,Rain,Wet,Hit fixed object,0,1,422,421,1,1,0,0,0,0,0,0,0,0,40.0915,-75.3562,No,No
2017130417,46,Montgomery,46220,Upper Merion Twp,2017,12,7,0,0,Dark no street lights,No adverse conditions,Dry,Hit fixed object,0,1,12,2,1,1,0,0,0,0,0,0,0,0,40.0967,-75.4183,No,No
2017040551,46,Montgomery,46220,Upper Merion Twp,2017,4,5,230,2,Dark no street lights,No adverse conditions,Dry,Head-on,0,1,238,236,2,0,0,0,0,1,1,0,0,0,40.068,-75.3404,No,Yes
2017019695,46,Montgomery,46220,Upper Merion Twp,2017,2,4,1707,17,Dusk,No adverse conditions,Dry,Hit fixed object,0,2,1713,1707,1,0,0,0,0,0,0,1,0,0,40.0809,-75.386,Yes,Yes
2017057363,46,Montgomery,46220,Upper Merion Twp,2017,5,1,1404,14,Daylight,No adverse conditions,Dry,Rear-end,0,1,1417,1406,4,2,0,0,0,0,2,0,0,0,40.0778,-75.3717,No,Yes
2017037208,46,Montgomery,46220,Upper Merion Twp,2017,4,4,1323,13,Daylight,No adverse conditions,Dry,Hit fixed object,0,1,1338,1323,1,1,0,0,0,0,0,0,0,0,40.0842,-75.3962,No,No
2017132400,46,Montgomery,46220,Upper Merion Twp,2017,9,6,2305,23,Dark street lights,No adverse conditions,Dry,Backing,0,0,2309,2305,3,1,0,0,2,0,0,0,0,0,40.0676,-75.3392,No,No
2017098182,46,Montgomery,46220,Upper Merion Twp,2017,9,7,6,0,Dark no street lights,No adverse conditions,Dry,Angle,0,0,8,6,2,0,0,0,1,0,0,1,0,0,40.0969,-75.4177,No,Yes
2017049858,46,Montgomery,46220,Upper Merion Twp,2017,5,3,1255,12,Daylight,No adverse conditions,Dry,Rear-end,0,0,1327,1256,2,1,0,0,0,0,1,0,0,0,40.0648,-75.3307,Yes,Yes
2017111928,46,Montgomery,46220,Upper Merion Twp,2017,10,3,1215,12,Daylight,No adverse conditions,Dry,Rear-end,0,0,1220,1215,2,2,0,0,0,0,0,0,0,0,40.1037,-75.3958,No,No
2017034137,46,Montgomery,46220,Upper Merion Twp,2017,3,2,1750,17,Daylight,No adverse conditions,Dry,Rear-end,0,1,1756,1751,3,2,0,0,0,0,1,0,0,0,40.0947,-75.3625,No,Yes
2017080979,46,Montgomery,46220,Upper Merion Twp,2017,7,6,916,9,Daylight,Rain,Wet,Angle,0,1,927,916,2,1,0,0,0,1,0,0,0,0,40.0875,-75.3637,Yes,Yes
2017051984,46,Montgomery,46220,Upper Merion Twp,2017,5,2,835,8,Daylight,Rain,Wet,Angle,0,0,849,836,2,0,0,0,0,0,1,1,0,0,40.102,-75.3794,Yes,Yes
2017028183,46,Montgomery,46220,Upper Merion Twp,2017,3,3,2355,23,Dark street lights,No adverse conditions,Ice Patches,Hit pedestrian,0,1,2,2,1,0,0,0,0,0,1,0,0,1,40.0931,-75.3678,No,No
2017070919,46,Montgomery,46220,Upper Merion Twp,2017,7,2,1411,14,Daylight,No adverse conditions,Dry,Rear-end,0,0,1418,1411,2,1,0,0,0,0,1,0,0,0,40.083,-75.3826,No,Yes
2017030283,46,Montgomery,46220,Upper Merion Twp,2017,3,7,1705,17,Daylight,No adverse conditions,Dry,Rear-end,0,1,1740,1705,3,2,0,0,0,0,1,0,0,0,40.0774,-75.37,No,Yes
2017039468,46,Montgomery,46220,Upper Merion Twp,2017,4,1,2002,20,Dark street lights,No adverse conditions,Dry,Angle,0,2,2010,2004,2,1,0,0,0,0,1,0,0,0,40.0776,-75.405,No,Yes
2018004154,46,Montgomery,46220,Upper Merion Twp,2017,12,7,826,8,Dawn,Snow,Ice,Hit fixed object,0,0,834,834,1,1,0,0,0,0,0,0,0,0,40.0765,-75.3658,Yes,Yes
2017100228,46,Montgomery,46220,Upper Merion Twp,2017,6,4,1602,16,Daylight,No adverse conditions,Dry,Rear-end,0,0,1625,1602,3,0,0,0,1,0,2,0,0,0,40.0824,-75.3917,Yes,Yes
2018001109,46,Montgomery,46220,Upper Merion Twp,2017,12,6,1456,14,Daylight,No adverse conditions,Dry,Backing,0,0,1520,1506,2,1,0,0,0,0,1,0,0,0,40.0889,-75.3977,No,No
2017103779,46,Montgomery,46220,Upper Merion Twp,2017,10,1,1205,12,Daylight,Rain,Wet,Angle,0,1,1510,1205,2,2,0,0,0,0,0,0,0,0,40.0857,-75.4021,No,Yes
2017067567,46,Montgomery,46220,Upper Merion Twp,2017,6,2,1839,18,Daylight,No adverse conditions,Dry,Rear-end,0,0,1849,1839,3,3,0,0,0,0,0,0,0,0,40.0751,-75.3539,Yes,Yes
2017059633,46,Montgomery,46220,Upper Merion Twp,2017,6,7,1638,16,Daylight,No adverse conditions,Dry,Angle,0,1,1644,1641,2,2,0,0,0,0,0,0,0,0,40.0865,-75.386,No,Yes
2017104561,46,Montgomery,46220,Upper Merion Twp,2017,10,2,1815,18,Dusk,Rain,Wet,Head-on,0,2,1818,1816,2,1,0,0,0,0,1,0,0,0,40.1056,-75.4067,Yes,Yes
2017083351,46,Montgomery,46220,Upper Merion Twp,2017,8,3,1543,15,Daylight,Rain,Wet,Hit fixed object,0,0,1555,1544,1,0,0,0,0,0,1,0,0,0,40.0613,-75.3424,Yes,Yes
2018011931,46,Montgomery,46220,Upper Merion Twp,2017,12,6,1536,15,Daylight,No adverse conditions,Dry,Rear-end,0,0,1618,1609,4,0,0,0,1,0,2,0,0,0,40.0674,-75.3373,Yes,Yes
